province,completion_elementary,completion_junior_high,completion_senior_high
ACEH,99.08,94.55,74.46
SUMATERA UTARA,98.75,94.35,74.43
SUMATERA BARAT,95.81,90.65,68.64
RIAU,98.09,90.52,67.79
JAMBI,97.76,89.35,66.62
SUMATERA SELATAN,97.58,87.95,64.81
BENGKULU,97.1,89.25,63.41
LAMPUNG,98.67,87.67,64.54
KEP. BANGKA BELITUNG,96.01,87.11,68.96
KEP. RIAU,97.92,95.51,78.97
DKI JAKARTA,98.66,95.85,88.1
JAWA BARAT,99.09,91.42,66.47
JAWA TENGAH,98.42,90.64,58.35
DI YOGYAKARTA,98.95,97.02,89.69
JAWA TIMUR,98.78,90.74,68.65
BANTEN,97.15,90.86,70.07
BALI,98.43,93.03,76.51
NUSA TENGGARA BARAT,98.11,92.95,63.66
NUSA TENGGARA TIMUR,93.41,82.48,43.46
KALIMANTAN BARAT,95.33,81.56,55.58
KALIMANTAN TENGAH,97.47,88.92,63.93
KALIMANTAN SELATAN,95.99,88.19,68.35
KALIMANTAN TIMUR,97.88,94.85,73.63
KALIMANTAN UTARA,96.41,88.08,59.5
SULAWESI UTARA,96.18,92.07,67.57
SULAWESI TENGAH,97.56,90.05,55.69
SULAWESI SELATAN,98.37,88.74,67.41
SULAWESI TENGGARA,97.83,89.55,68.28
GORONTALO,93.69,83.71,46.19
SULAWESI BARAT,95.13,84.04,54.79
MALUKU,98.69,93.9,75.01
MALUKU UTARA,98.3,93.46,64.61
PAPUA BARAT,92.69,88.63,59.99
PAPUA BARAT DAYA,-,-,-
PAPUA,80.09,67.12,39.5
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
