education_25plus_male,education_25plus_female,province
53.12,49.76,ACEH
55.64,52.01,SUMATERA UTARA
46.66,50.12,SUMATERA BARAT
46.88,44.22,RIAU
42.25,36.77,JAMBI
41.7,36.93,SUMATERA SELATAN
44.67,42.13,BENGKULU
36.58,32.33,LAMPUNG
41.54,39.72,KEP. BANGKA BELITUNG
65.4,60.08,KEP. RIAU
71.89,64.7,DKI JAKARTA
44.8,36.54,JAWA BARAT
33.21,28.74,JAWA TENGAH
57.19,52.67,DI YOGYAKARTA
39.26,31.58,JAWA TIMUR
49.15,41.18,BANTEN
56.2,44.27,BALI
41.8,30.96,NUSA TENGGARA BARAT
35.95,32.87,NUSA TENGGARA TIMUR
36.45,30.61,KALIMANTAN BARAT
38.94,34.47,KALIMANTAN TENGAH
41.2,34.71,KALIMANTAN SELATAN
57.95,49.68,KALIMANTAN TIMUR
47.43,44.8,KALIMANTAN UTARA
49.27,50.6,SULAWESI UTARA
37.66,35.76,SULAWESI TENGAH
43.65,40.73,SULAWESI SELATAN
44.67,39.98,SULAWESI TENGGARA
31.37,37.47,GORONTALO
36.44,34.23,SULAWESI BARAT
56.38,54.61,MALUKU
45.39,40.28,MALUKU UTARA
54.68,46.1,PAPUA BARAT
62.26,55.35,PAPUA BARAT DAYA
63.01,55.73,PAPUA
45.76,37.8,PAPUA SELATAN
31.08,26.68,PAPUA TENGAH
21,12.32,PAPUA PEGUNUNGAN
