eys_male,eys_female,province
14.31,14.63,ACEH
13.35,13.75,SUMATERA UTARA
13.89,14.87,SUMATERA BARAT
13.34,13.71,RIAU
13.19,13.67,JAMBI
12.56,12.95,SUMATERA SELATAN
13.71,14.15,BENGKULU
12.7,13.08,LAMPUNG
12.27,12.81,KEP. BANGKA BELITUNG
13.1,13.57,KEP. RIAU
13.65,13.91,DKI JAKARTA
12.9,13.16,JAWA BARAT
12.96,13.15,JAWA TENGAH
15.73,15.86,DI YOGYAKARTA
13.34,13.66,JAWA TIMUR
13.05,13.29,BANTEN
13.59,13.88,BALI
14.12,13.98,NUSA TENGGARA BARAT
13.33,13.57,NUSA TENGGARA TIMUR
12.67,13.02,KALIMANTAN BARAT
12.89,12.78,KALIMANTAN TENGAH
12.89,13.37,KALIMANTAN SELATAN
13.89,14.23,KALIMANTAN TIMUR
13.01,13.74,KALIMANTAN UTARA
12.81,13.53,SULAWESI UTARA
13.19,13.85,SULAWESI TENGAH
13.44,13.91,SULAWESI SELATAN
13.69,14,SULAWESI TENGGARA
12.88,13.86,GORONTALO
12.79,13.3,SULAWESI BARAT
13.93,14.46,MALUKU
13.81,13.76,MALUKU UTARA
13.21,13.2,PAPUA BARAT
13.73,14.03,PAPUA BARAT DAYA
13.66,14.13,PAPUA
12.92,12.56,PAPUA SELATAN
9.71,9.44,PAPUA TENGAH
9.96,10.1,PAPUA PEGUNUNGAN
