province,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all
ACEH,2,1,4,7,1,17,131,149,8,3,7,18,1,19,42,62,236
SUMATERA UTARA,6,3,2,11,13,56,84,153,11,5,4,20,3,13,38,54,238
SUMATERA BARAT,1,2,2,5,33,81,203,317,9,2,5,16,2,21,37,60,398
RIAU,2,1,1,4,128,58,41,227,4,9,4,17,4,15,12,31,279
JAMBI,2,–,–,2,1,7,63,71,2,2,15,19,2,13,45,60,152
SUMATERA SELATAN,2,2,5,9,15,83,246,344,10,10,11,31,2,11,13,26,410
BENGKULU,1,–,1,2,5,10,9,24,6,–,–,6,2,7,27,36,68
LAMPUNG,1,3,4,8,12,58,82,152,9,3,6,18,1,12,62,75,253
KEP. BANGKA BELITUNG,1,–,6,7,22,141,417,580,3,1,2,6,4,45,124,173,766
KEP. RIAU,2,2,–,4,2,10,20,32,4,1,1,6,1,7,26,34,76
DKI JAKARTA,28,20,6,54,70,75,403,548,27,13,2,42,10,18,43,71,715
JAWA BARAT,19,10,7,36,80,105,762,947,43,29,18,90,14,22,20,56,1129
JAWA TENGAH,12,6,6,24,464,492,843,1799,40,16,14,70,33,223,532,788,2681
DI YOGYAKARTA,5,6,3,14,442,119,390,951,26,15,15,56,18,37,74,129,1150
JAWA TIMUR,9,3,9,21,542,348,1754,2644,54,24,27,105,21,248,246,515,3285
BANTEN,2,3,–,5,15,54,248,317,12,5,1,18,2,7,29,38,378
BALI,1,–,4,5,54,104,614,772,3,4,3,10,2,15,62,79,866
NUSA TENGGARA BARAT,1,1,–,2,6,22,109,137,3,1,7,11,3,7,15,25,175
NUSA TENGGARA TIMUR,1,1,2,4,–,2,16,18,3,2,5,10,–,3,21,24,56
KALIMANTAN BARAT,1,–,5,6,17,60,176,253,3,–,3,6,2,74,111,187,452
KALIMANTAN TENGAH,1,–,–,1,16,25,77,118,1,5,3,9,1,16,46,63,191
KALIMANTAN SELATAN,2,2,3,7,24,46,227,297,4,1,12,17,10,12,41,63,384
KALIMANTAN TIMUR,5,3,1,9,86,139,88,313,4,3,3,10,15,17,18,50,382
KALIMANTAN UTARA,1,1,–,2,2,2,20,24,–,1,–,1,–,1,6,7,34
SULAWESI UTARA,1,–,–,1,5,23,30,58,1,–,–,1,1,4,30,35,95
SULAWESI TENGAH,–,–,3,3,4,13,27,44,2,3,2,7,–,5,42,47,101
SULAWESI SELATAN,5,4,4,13,46,155,179,380,13,7,14,34,3,176,190,369,796
SULAWESI TENGGARA,1,–,3,4,6,32,37,75,2,4,3,9,6,20,43,69,157
GORONTALO,1,1,–,2,25,44,223,292,5,1,2,8,3,7,92,102,404
SULAWESI BARAT,–,–,–,–,1,53,240,294,–,2,2,4,2,8,26,36,334
MALUKU,–,–,–,–,1,1,6,8,1,1,2,4,1,2,18,21,33
MALUKU UTARA,1,–,–,1,–,10,66,76,1,2,–,3,–,14,36,50,130
PAPUA BARAT,–,–,–,–,5,4,10,19,1,1,1,3,–,4,9,13,35
PAPUA BARAT DAYA,–,2,–,2,1,5,34,40,2,–,–,2,–,3,11,14,58
PAPUA,1,–,1,2,–,2,4,6,3,1,1,5,–,–,4,4,17
PAPUA SELATAN,–,–,–,–,–,–,–,–,–,1,–,1,–,–,–,–,1
PAPUA TENGAH,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
PAPUA PEGUNUNGAN,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
