province,literacy_male,literacy_female,literacy_total
ACEH,99.44,98.41,98.92
SUMATERA UTARA,99.4,98.62,99.01
SUMATERA BARAT,99.44,98.72,99.08
RIAU,99.47,98.51,99.0
JAMBI,98.72,96.44,97.59
SUMATERA SELATAN,99.35,98.41,98.89
BENGKULU,98.81,96.76,97.8
LAMPUNG,98.65,96.99,97.83
KEP. BANGKA BELITUNG,98.96,97.4,98.2
KEP. RIAU,99.74,99.18,99.46
DKI JAKARTA,99.81,99.61,99.71
JAWA BARAT,99.43,98.35,98.9
JAWA TENGAH,97.1,93.36,95.2
DI YOGYAKARTA,97.84,94.11,95.93
JAWA TIMUR,96.96,92.82,94.85
BANTEN,99.49,98.5,99.0
BALI,98.25,94.58,96.42
NUSA TENGGARA BARAT,94.18,88.06,91.07
NUSA TENGGARA TIMUR,96.52,95.34,95.92
KALIMANTAN BARAT,97.58,94.57,96.09
KALIMANTAN TENGAH,99.48,98.86,99.18
KALIMANTAN SELATAN,98.79,96.85,97.82
KALIMANTAN TIMUR,99.38,98.52,98.96
KALIMANTAN UTARA,98.67,97.56,98.14
SULAWESI UTARA,99.8,99.8,99.8
SULAWESI TENGAH,98.87,97.9,98.39
SULAWESI SELATAN,95.98,94.19,95.05
SULAWESI TENGGARA,98.45,96.04,97.22
GORONTALO,98.09,98.99,98.54
SULAWESI BARAT,97.14,94.11,95.62
MALUKU,99.6,99.1,99.35
MALUKU UTARA,99.26,98.46,98.86
PAPUA BARAT,98.67,97.17,97.96
PAPUA BARAT DAYA,98.9,98.23,98.58
PAPUA,98.99,97.76,98.39
PAPUA SELATAN,97.11,93.31,95.27
PAPUA TENGAH,86.48,85.07,85.82
PAPUA PEGUNUNGAN,71.88,64.38,68.32
