province,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading
ACEH,59.23,54.24,58.7,61.92
SUMATERA UTARA,59.36,54.29,58.91,61.99
SUMATERA BARAT,59.42,54.55,58.15,63.16
RIAU,58.59,53.34,57.72,61.9
JAMBI,57.77,53.28,56.82,60.89
SUMATERA SELATAN,60.86,56.08,60.59,63.1
BENGKULU,57.74,53.02,57.25,60.27
LAMPUNG,58.79,53.95,58.4,61.23
KEP. BANGKA BELITUNG,58,53.55,57.12,61.02
KEP. RIAU,59.33,54.1,58.27,62.89
DKI JAKARTA,57.23,51.41,55.61,61.89
JAWA BARAT,59.19,53.93,57.81,63.24
JAWA TENGAH,57.11,52.18,55.87,60.84
DI YOGYAKARTA,55.44,50.63,54.12,59.25
JAWA TIMUR,58.86,53.62,57.9,62.29
BANTEN,56.53,51.53,55.36,60.16
BALI,–,–,–,–
NUSA TENGGARA BARAT,61.19,56.04,60.04,64.85
NUSA TENGGARA TIMUR,62.05,55.84,61.42,65.38
KALIMANTAN BARAT,59.85,54.61,59.11,62.95
KALIMANTAN TENGAH,56.24,51.25,55.56,59.18
KALIMANTAN SELATAN,57.1,51.92,56.02,60.69
KALIMANTAN TIMUR,57.86,52.7,56.21,62.26
KALIMANTAN UTARA,58.89,53.58,57.73,62.65
SULAWESI UTARA,58.75,53.94,57.75,62.05
SULAWESI TENGAH,59.51,54.1,58.88,62.54
SULAWESI SELATAN,59.84,54.76,58.81,63.29
SULAWESI TENGGARA,58.64,53.43,57.8,61.86
GORONTALO,59.2,54.18,58.36,62.37
SULAWESI BARAT,48.63,44.54,47.95,51.21
MALUKU,57.38,51.94,57.05,59.94
MALUKU UTARA,60.66,55.61,60.26,63.2
PAPUA BARAT,50.77,46.13,50.92,52.38
PAPUA BARAT DAYA,–,–,–,–
PAPUA,51.12,46.79,48.77,56.24
PAPUA SELATAN,–,–,–,–
PAPUA TENGAH,–,–,–,–
PAPUA PEGUNUNGAN,–,–,–,–
