province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total
ACEH,3336.0,221.0,3557.0,47413.0,3358.0,50771.0,456582.0,42474.0,499056.0
SUMATERA UTARA,7982.0,1653.0,9635.0,92179.0,20945.0,113124.0,1117437.0,349159.0,1466596.0
SUMATERA BARAT,3894.0,353.0,4247.0,43390.0,5607.0,48997.0,506442.0,75791.0,582233.0
RIAU,3239.0,615.0,3854.0,44459.0,9965.0,54424.0,620356.0,148085.0,768441.0
JAMBI,2302.0,184.0,2486.0,27371.0,2606.0,29977.0,330014.0,37858.0,367872.0
SUMATERA SELATAN,4247.0,497.0,4744.0,54307.0,6758.0,61065.0,788108.0,95912.0,884020.0
BENGKULU,1285.0,123.0,1408.0,15852.0,2021.0,17873.0,170787.0,23968.0,194755.0
LAMPUNG,4282.0,462.0,4744.0,51247.0,6223.0,57470.0,709223.0,88642.0,797865.0
KEP. BANGKA BELITUNG,761.0,72.0,833.0,8489.0,1066.0,9555.0,140903.0,16672.0,157575.0
KEP. RIAU,683.0,301.0,984.0,9119.0,5058.0,14177.0,153243.0,74961.0,228204.0
DKI JAKARTA,1305.0,918.0,2223.0,22974.0,15697.0,38671.0,527062.0,211719.0,738781.0
JAWA BARAT,16936.0,2634.0,19570.0,174913.0,41699.0,216612.0,3902286.0,645996.0,4548282.0
JAWA TENGAH,17140.0,1366.0,18506.0,148125.0,19434.0,167559.0,2253391.0,324853.0,2578244.0
DI YOGYAKARTA,1414.0,424.0,1838.0,14295.0,5856.0,20151.0,179962.0,83093.0,263055.0
JAWA TIMUR,16790.0,2133.0,18923.0,153548.0,26765.0,180313.0,2079218.0,409530.0,2488748.0
BANTEN,3852.0,818.0,4670.0,46294.0,13410.0,59704.0,1029801.0,209743.0,1239544.0
BALI,2250.0,160.0,2410.0,22012.0,2923.0,24935.0,335446.0,46178.0,381624.0
NUSA TENGGARA BARAT,3008.0,366.0,3374.0,43403.0,4024.0,47427.0,478528.0,46505.0,525033.0
NUSA TENGGARA TIMUR,3431.0,1825.0,5256.0,39885.0,17121.0,57006.0,406044.0,235300.0,641344.0
KALIMANTAN BARAT,4138.0,318.0,4456.0,37167.0,3835.0,41002.0,487662.0,65001.0,552663.0
KALIMANTAN TENGAH,2410.0,242.0,2652.0,23654.0,2858.0,26512.0,230892.0,46196.0,277088.0
KALIMANTAN SELATAN,2739.0,193.0,2932.0,27329.0,2547.0,29876.0,312010.0,37078.0,349088.0
KALIMANTAN TIMUR,1668.0,287.0,1955.0,23251.0,4346.0,27597.0,352800.0,72773.0,425573.0
KALIMANTAN UTARA,437.0,53.0,490.0,5457.0,713.0,6170.0,70049.0,10787.0,80836.0
SULAWESI UTARA,1350.0,861.0,2211.0,14623.0,5901.0,20524.0,136974.0,82176.0,219150.0
SULAWESI TENGAH,2675.0,276.0,2951.0,27325.0,2308.0,29633.0,289530.0,29191.0,318721.0
SULAWESI SELATAN,6067.0,401.0,6468.0,65370.0,5918.0,71288.0,800828.0,80037.0,880865.0
SULAWESI TENGGARA,2266.0,91.0,2357.0,28777.0,1089.0,29866.0,284912.0,15110.0,300022.0
GORONTALO,896.0,36.0,932.0,8415.0,426.0,8841.0,103371.0,5377.0,108748.0
SULAWESI BARAT,1297.0,33.0,1330.0,15059.0,389.0,15448.0,138755.0,5314.0,144069.0
MALUKU,1311.0,533.0,1844.0,15402.0,3568.0,18970.0,148432.0,53782.0,202214.0
MALUKU UTARA,1133.0,199.0,1332.0,12447.0,1323.0,13770.0,116699.0,21799.0,138498.0
PAPUA BARAT,407.0,177.0,584.0,4322.0,1500.0,5822.0,46967.0,23216.0,70183.0
PAPUA BARAT DAYA,313.0,251.0,564.0,3823.0,1665.0,5488.0,37066.0,24331.0,61397.0
PAPUA,500.0,353.0,853.0,5051.0,2825.0,7876.0,68799.0,48911.0,117710.0
PAPUA SELATAN,381.0,235.0,616.0,3139.0,1637.0,4776.0,57928.0,38080.0,96008.0
PAPUA TENGAH,292.0,268.0,560.0,3370.0,2332.0,5702.0,72584.0,73386.0,145970.0
PAPUA PEGUNUNGAN,516.0,163.0,679.0,3604.0,1095.0,4699.0,109588.0,34402.0,143990.0
