province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading,completion_elementary,completion_junior_high,completion_senior_high,villages_primary,villages_junior_high,villages_senior_high,villages_vocational,villages_university,eys_male,eys_female,education_25plus_male,education_25plus_female,literacy_male,literacy_female,literacy_total,region,facility_ratio_jhs,facility_ratio_shs,facility_ratio_vocational,facility_ratio_univ,school_density_primary,pupil_teacher_ratio,gap_eys,gap_literacy,gap_edu25plus,library_total_all,library_per_1000pupils,outcome_composite,eys_avg,has_completion_data,has_reading_data,z_facility_ratio_jhs,z_facility_ratio_shs,z_school_density_primary,access_index,z_literacy,z_eys,outcome_index_all,outcome_index_full,outcome_index_used,access_outcome_gap,quadrant,kmeans_cluster
ACEH,3336.0,221.0,3557.0,47413.0,3358.0,50771.0,456582.0,42474.0,499056.0,2.0,1.0,4.0,7.0,1.0,17.0,131.0,149.0,8.0,3.0,7.0,18.0,1.0,19.0,42.0,62.0,236.0,59.23,54.24,58.7,61.92,99.08,94.55,74.46,3398,1468,753,206,113,14.31,14.63,53.12,49.76,99.44,98.41,98.92,Sumatera,0.4320188346085933,0.2216009417304296,0.0606238964096527,0.0332548557975279,7.127456638132795,9.82954836422367,0.3200000000000003,-1.0300000000000011,-3.3599999999999994,410.0,0.8215510884550031,86.69,14.47,True,True,-0.6664059217922058,-0.2406719723851917,0.1230056700288956,-0.2613574080495006,0.4332404380229933,1.1001860632132705,0.7667132506181318,0.7808467374531759,0.7808467374531759,-1.0422041455026765,Low Access - High Outcome (efisien),3
SUMATERA UTARA,7982.0,1653.0,9635.0,92179.0,20945.0,113124.0,1117437.0,349159.0,1466596.0,6.0,3.0,2.0,11.0,13.0,56.0,84.0,153.0,11.0,5.0,4.0,20.0,3.0,13.0,38.0,54.0,238.0,59.36,54.29,58.91,61.99,98.75,94.35,74.43,5010,2339,1170,703,201,13.35,13.75,55.64,52.01,99.4,98.62,99.01,Sumatera,0.4668662674650699,0.2335329341317365,0.1403193612774451,0.0401197604790419,6.569634718763723,12.964499133694,0.4000000000000003,-0.7800000000000011,-3.6300000000000026,422.0,0.2877411366184007,86.72,13.55,True,True,-0.4365163163887963,-0.1516069694653307,-0.1781131602759931,-0.2554121487100401,0.4499222923130034,0.2122141188536745,0.331068205583339,0.4894810613454227,0.4894810613454227,-0.7448932100554628,Low Access - High Outcome (efisien),0
SUMATERA BARAT,3894.0,353.0,4247.0,43390.0,5607.0,48997.0,506442.0,75791.0,582233.0,1.0,2.0,2.0,5.0,33.0,81.0,203.0,317.0,9.0,2.0,5.0,16.0,2.0,21.0,37.0,60.0,398.0,59.42,54.55,58.15,63.16,95.81,90.65,68.64,1258,816,428,181,101,13.89,14.87,46.66,50.12,99.44,98.72,99.08,Sumatera,0.6486486486486487,0.3402225755166931,0.143879173290938,0.0802861685214626,7.294330620215618,11.883033655121745,0.9799999999999986,-0.7199999999999989,3.460000000000001,736.0,1.2640987371035308,83.86,14.38,True,True,0.762707742717705,0.6447657486759655,0.2130862074698283,0.540186566287833,0.4628970678718984,1.013319242569397,0.7381081552206478,0.5802613334504914,0.5802613334504914,-0.0400747671626583,High Access - High Outcome,0
RIAU,3239.0,615.0,3854.0,44459.0,9965.0,54424.0,620356.0,148085.0,768441.0,2.0,1.0,1.0,4.0,128.0,58.0,41.0,227.0,4.0,9.0,4.0,17.0,4.0,15.0,12.0,31.0,279.0,58.59,53.34,57.72,61.9,98.09,90.52,67.79,1811,1221,639,264,78,13.34,13.71,46.88,44.22,99.47,98.51,99.0,Sumatera,0.6742131419105467,0.3528437327443401,0.1457758144671452,0.0430701270016565,5.015349259084301,14.119524474496544,0.370000000000001,-0.9599999999999936,-2.660000000000004,527.0,0.6858041150849578,83.39500000000001,13.525,True,True,0.9313575050264824,0.738974944217297,-1.0171347249142673,0.2177325747765041,0.4480687529474458,0.1880844464525982,0.318076599700022,0.273730324040915,0.273730324040915,-0.0559977492644108,High Access - High Outcome,0
JAMBI,2302.0,184.0,2486.0,27371.0,2606.0,29977.0,330014.0,37858.0,367872.0,2.0,0.0,0.0,2.0,1.0,7.0,63.0,71.0,2.0,2.0,15.0,19.0,2.0,13.0,45.0,60.0,152.0,57.77,53.28,56.82,60.89,97.76,89.35,66.62,1487,814,397,168,42,13.19,13.67,42.25,36.77,98.72,96.44,97.59,Sumatera,0.5474108944182918,0.2669804976462676,0.112979152656355,0.0282447881640887,6.757785316631872,12.271808386429596,0.4800000000000004,-2.280000000000001,-5.479999999999997,244.0,0.6632741823242867,82.105,13.43,True,True,0.0948391089563923,0.098058571870218,-0.0765472554881294,0.0387834751128269,0.1867197024039653,0.0963916913285089,0.1415556968662371,0.1195595248539408,0.1195595248539408,-0.0807760497411139,High Access - High Outcome,0
SUMATERA SELATAN,4247.0,497.0,4744.0,54307.0,6758.0,61065.0,788108.0,95912.0,884020.0,2.0,2.0,5.0,9.0,15.0,83.0,246.0,344.0,10.0,10.0,11.0,31.0,2.0,11.0,13.0,26.0,410.0,60.86,56.08,60.59,63.1,97.58,87.95,64.81,2999,1419,732,268,105,12.56,12.95,41.7,36.93,99.35,98.41,98.89,Sumatera,0.4731577192397466,0.2440813604534845,0.0893631210403467,0.0350116705568522,5.366394425465487,14.476705150249732,0.3899999999999988,-0.9399999999999976,-4.770000000000003,794.0,0.8981697246668627,81.85,12.755,True,True,-0.3950114120863205,-0.0728694385024783,-0.8276364169158155,-0.4318390891682047,0.4276798199263233,-0.5551094635005415,-0.063714821787109,-0.0737381346833236,-0.0737381346833236,-0.3581009544848811,Low Access - Low Outcome (butuh infrastruktur),0
BENGKULU,1285.0,123.0,1408.0,15852.0,2021.0,17873.0,170787.0,23968.0,194755.0,1.0,0.0,1.0,2.0,5.0,10.0,9.0,24.0,6.0,0.0,0.0,6.0,2.0,7.0,27.0,36.0,68.0,57.74,53.02,57.25,60.27,97.1,89.25,63.41,1185,494,203,93,24,13.71,14.15,44.67,42.13,98.81,96.76,97.8,Sumatera,0.4168776371308016,0.1713080168776371,0.0784810126582278,0.020253164556962,7.22959615927704,10.89660381581156,0.4399999999999995,-2.049999999999997,-2.539999999999999,100.0,0.5134656363122898,80.60499999999999,13.93,True,True,-0.7662928755268108,-0.6160778013707758,0.1781417843817406,-0.4014096308386154,0.2256440290806529,0.5789851393500284,0.4023145842153406,0.1932846520389094,0.1932846520389094,-0.5946942828775249,Low Access - High Outcome (efisien),3
LAMPUNG,4282.0,462.0,4744.0,51247.0,6223.0,57470.0,709223.0,88642.0,797865.0,1.0,3.0,4.0,8.0,12.0,58.0,82.0,152.0,9.0,3.0,6.0,18.0,1.0,12.0,62.0,75.0,253.0,58.79,53.95,58.4,61.23,98.67,87.67,64.54,2532,1447,708,403,81,12.7,13.08,36.58,32.33,98.65,96.99,97.83,Sumatera,0.5714849921011058,0.2796208530805687,0.1591627172195892,0.0319905213270142,5.945868035319258,13.883156429441447,0.3800000000000008,-1.6600000000000108,-4.25,431.0,0.5401916364297218,81.185,12.89,True,True,0.2536566849752424,0.1924110702459965,-0.514829749531577,-0.0229206647701127,0.2312046471773229,-0.4248092325347313,-0.0968022926787042,-0.1042172633720807,-0.1042172633720807,0.0812965986019679,Low Access - Low Outcome (butuh infrastruktur),0
KEP. BANGKA BELITUNG,761.0,72.0,833.0,8489.0,1066.0,9555.0,140903.0,16672.0,157575.0,1.0,0.0,6.0,7.0,22.0,141.0,417.0,580.0,3.0,1.0,2.0,6.0,4.0,45.0,124.0,173.0,766.0,58.0,53.55,57.12,61.02,96.01,87.11,68.96,391,217,87,50,15,12.27,12.81,41.54,39.72,98.96,97.4,98.2,Sumatera,0.5549872122762148,0.2225063938618925,0.1278772378516624,0.0383631713554987,5.286371569094082,16.491365777080063,0.5400000000000009,-1.559999999999988,-1.8200000000000005,1359.0,8.624464540694907,83.58,12.54,True,True,0.1448203150309459,-0.233913327724665,-0.8708336956019382,-0.3199755694318858,0.2997856037029181,-0.7626246461497964,-0.2314195212234391,-0.0561102259436087,-0.0561102259436087,-0.2638653434882771,Low Access - Low Outcome (butuh infrastruktur),0
KEP. RIAU,683.0,301.0,984.0,9119.0,5058.0,14177.0,153243.0,74961.0,228204.0,2.0,2.0,0.0,4.0,2.0,10.0,20.0,32.0,4.0,1.0,1.0,6.0,1.0,7.0,26.0,34.0,76.0,59.33,54.1,58.27,62.89,97.92,95.51,78.97,409,252,136,62,36,13.1,13.57,65.4,60.08,99.74,99.18,99.46,Sumatera,0.6161369193154034,0.3325183374083129,0.1515892420537897,0.0880195599022004,4.31193142977336,16.096776468928546,0.4700000000000006,-0.5599999999999881,-5.320000000000007,118.0,0.5170812080419274,89.215,13.335,True,True,0.548226846572923,0.5872583377977092,-1.3968479391552675,-0.0871209182615451,0.5333315637630485,0.0046989362044212,0.2690152499837349,0.5897068650755496,0.5897068650755496,-0.6768277833370947,Low Access - High Outcome (efisien),0
