,missing_count,missing_pct
special_library_b,17,44.73684210526316
special_library_c,16,42.10526315789473
public_library_a,10,26.31578947368421
special_library_a,8,21.052631578947366
academic_library_c,8,21.052631578947366
special_library_total,6,15.789473684210526
school_library_a,6,15.789473684210526
academic_library_b,6,15.789473684210526
tgm_pre_reading,5,13.157894736842104
tgm_post_reading,5,13.157894736842104
academic_library_a,5,13.157894736842104
tgm_reading,5,13.157894736842104
completion_junior_high,4,10.526315789473683
completion_elementary,4,10.526315789473683
completion_senior_high,4,10.526315789473683
public_library_b,4,10.526315789473683
public_library_total,3,7.894736842105263
public_library_c,3,7.894736842105263
school_library_total,3,7.894736842105263
school_library_c,3,7.894736842105263
school_library_b,3,7.894736842105263
public_library_all,2,5.263157894736842
academic_library_total,2,5.263157894736842
