region,education_25plus_male,education_25plus_female
ACEH,53.12,49.76
Simeulue,54.42,44.7
Aceh Singkil,45.73,40.14
Aceh Selatan,45.35,41.59
Aceh Tenggara,64.53,51.79
Aceh Timur,36.65,33.31
Aceh Tengah,58.15,60.59
Aceh Barat,53.39,48.38
Aceh Besar,61.69,60.77
Pidie,47.89,45.47
Bireuen,51.05,48.43
Aceh Utara,47.02,44.07
Aceh Barat Daya,41.56,46.4
Gayo Lues,47.48,36.77
Aceh Tamiang,44.79,43.94
Nagan Raya,55.85,48.54
Aceh Jaya,44.43,37.9
Bener Meriah,53.6,51.22
Pidie Jaya,47.59,44.41
Kota Banda Aceh,83.95,82.84
Kota Sabang,67.05,63.43
Kota Langsa,70.11,68.85
Kota Lhokseumawe,70.71,65.87
Kota Subulussalam,45.02,38.67
SUMATERA UTARA,55.64,52.01
Nias,33.66,19.42
Mandailing Natal,38.75,35.75
Tapanuli Selatan,49.33,45.79
Tapanuli Tengah,38.29,40.51
Tapanuli Utara,61.36,61.07
Toba Samosir / Toba,59.33,59.78
Labuhan Batu,46.69,41.77
Asahan,42.37,38.57
Simalungun,50.54,46.38
Dairi,52.97,54.04
Karo,58.4,58.77
Deli Serdang,67.54,60.45
Langkat,42.18,39.29
Nias Selatan,40.88,28.21
Humbang Hasundutan,54.96,51.68
Pakpak Bharat,53.71,46.78
Samosir,60.17,55.85
Serdang Bedagai,42.1,39.28
Batu Bara,41.55,37.99
Padang Lawas Utara,58.35,50.51
Padang Lawas,43.36,42.24
Labuhan Batu Selatan,44.72,43.74
Labuhan Batu Utara,43.41,37.06
Nias Utara,42.54,24.56
Nias Barat,46.34,21.94
Kota Sibolga,51.74,60.24
Kota Tanjung Balai,44.68,50.29
Kota Pematang Siantar,71.12,70.45
Kota Tebing Tinggi,60.78,59.92
Kota Medan,73.74,71.95
Kota Binjai,63.81,60.31
Kota Padangsidimpuan,63.86,65.57
Kota Gunungsitoli,57.17,43.39
SUMATERA BARAT,46.66,50.12
Kepulauan Mentawai,33.85,36.14
Pesisir Selatan,39.89,43.18
Solok,31.09,39.52
Sijunjung,37.42,39.19
Tanah Datar,45.3,48.91
