region,eys_male,eys_female
ACEH,14.31,14.63
Simeulue,14.58,14.76
Aceh Singkil,14.41,14.16
Aceh Selatan,14.6,15
Aceh Tenggara,14.35,15.02
Aceh Timur,12.9,13.14
Aceh Tengah,14.37,15.65
Aceh Barat,14.94,15.04
Aceh Besar,14.86,15.56
Pidie,14.39,14.91
Bireuen,14.91,15.31
Aceh Utara,14.6,15.16
Aceh Barat Daya,13.69,14.86
Gayo Lues,14.45,14.94
Aceh Tamiang,14.25,14.57
Nagan Raya,13.96,14.51
Aceh Jaya,14.06,14.24
Bener Meriah,13.73,14.19
Pidie Jaya,14.89,15.3
Kota Banda Aceh,17.89,18.09
Kota Sabang,14.98,15.2
Kota Langsa,15.24,16.62
Kota Lhokseumawe,15.3,15.99
Kota Subulussalam,14.97,15.35
SUMATERA UTARA,13.35,13.75
Nias,13.37,12.91
Mandailing Natal,13.75,14.22
Tapanuli Selatan,13.89,14.32
Tapanuli Tengah,13.14,13.97
Tapanuli Utara,13.69,14.23
Toba Samosir / Toba,13.69,14.16
Labuhan Batu,13.29,13.65
Asahan,12.84,13.35
Simalungun,13.08,13.67
Dairi,13.33,13.63
Karo,12.94,13.78
Deli Serdang,13.39,14
Langkat,13.29,13.55
Nias Selatan,13,13.12
Humbang Hasundutan,13.47,14.47
Pakpak Bharat,12.9,15.08
Samosir,13.4,14.52
Serdang Bedagai,12.61,12.87
Batu Bara,12.96,13.39
Padang Lawas Utara,13.63,13.73
Padang Lawas,13.61,14.11
Labuhan Batu Selatan,13.21,13.98
Labuhan Batu Utara,13.36,13.9
Nias Utara,13.39,13.33
Nias Barat,13.34,13.05
Kota Sibolga,12.94,13.96
Kota Tanjung Balai,12.72,13.45
Kota Pematang Siantar,14.99,14.62
Kota Tebing Tinggi,13.01,13.23
Kota Medan,14.66,14.99
Kota Binjai,14.17,14.26
Kota Padangsidimpuan,14.15,15.34
Kota Gunungsitoli,13.88,14.29
SUMATERA BARAT,13.89,14.87
Kepulauan Mentawai,13.17,13.1
Pesisir Selatan,13.37,14.2
Solok,12.97,14.4
Sijunjung,12.74,13.68
Tanah Datar,14.35,15.34
Padang Pariaman,13.89,15.08
Agam,14.14,14.92
Lima Puluh Kota,13.25,14.02
Pasaman,13.43,14.34
Solok Selatan,12.93,13.72
Dharmasraya,12.59,13.45
Pasaman Barat,13.26,14.33
Kota Padang,16.38,16.92
Kota Solok,14.34,15.02
Kota Sawah Lunto,13.8,14.43
Kota Padang Panjang,15.36,16.36
Kota Bukittinggi,14.8,15.54
Kota Payakumbuh,14.46,15.15
Kota Pariaman,14.76,15.55
RIAU,13.34,13.71
Kuantan Singingi,13.17,13.73
Indragiri Hulu,12.54,13.14
Indragiri Hilir,12.23,12.88
Pelalawan,12.58,13.08
Siak,13.27,13.02
Kampar,13.57,14.12
Rokan Hulu,13.43,13.03
Bengkalis,13.47,13.99
Rokan Hilir,12.75,13.43
Kepulauan Meranti,12.9,13.03
Kota Pekanbaru,15.83,15.87
Kota Dumai,13.26,13.79
JAMBI,13.19,13.67
Kerinci,14.4,14.05
Merangin,12.32,12.73
Sarolangun,12.72,12.87
Batang Hari,13.07,13.73
Muaro Jambi,12.96,14.03
Tanjung Jabung Timur,11.89,12.74
Tanjung Jabung Barat,12.71,13.07
Tebo,12.98,13.34
Bungo,12.82,13.19
Kota Jambi,15.47,15.72
Kota Sungai Penuh,15.19,14.85
SUMATERA SELATAN,12.56,12.95
Ogan Komering Ulu,12.58,13.2
Ogan Komering Ilir,11.58,12.43
Muara Enim,11.82,12.23
Lahat,12.46,13.04
Musi Rawas,12.43,12.6
Musi Banyuasin,12.34,12.38
Banyu Asin,12.17,12.8
Ogan Komering Ulu Selatan,11.93,12.4
Ogan Komering Ulu Timur,12.62,12.66
Ogan Ilir,12.39,12.6
Empat Lawang,11.97,12.57
Penukal Abab Lematang Ilir,11.81,12.69
Musi Rawas Utara,12.07,12.45
Kota Palembang,14.52,14.35
Kota Prabumulih,13.2,14
Kota Pagar Alam,13.29,14
Kota Lubuklinggau,13.79,14.32
BENGKULU,13.71,14.15
Bengkulu Selatan,13.67,14.23
Rejang Lebong,13.88,14.56
Bengkulu Utara,12.66,13.33
Kaur,13.36,13.16
Seluma,13.3,13.67
Mukomuko,13.06,13.22
Lebong,12.61,13.17
Kepahiang,13.31,14.04
Bengkulu Tengah,13.41,13.75
Kota Bengkulu,16.06,16.49
LAMPUNG,12.7,13.08
Lampung Barat,12.22,12.56
Tanggamus,11.89,12.85
Lampung Selatan,12.35,13.05
Lampung Timur,13.21,13
Lampung Tengah,13.06,13.29
Lampung Utara,12.57,13.2
Way Kanan,12.35,12.82
Tulangbawang,12.16,12.8
Pesawaran,12.52,12.98
Pringsewu,12.93,13.6
Mesuji,11.88,12.14
Tulang Bawang Barat,11.99,12.6
Pesisir Barat,12.24,12.5
Kota Bandar Lampung,14.56,14.94
Kota Metro,14.91,15.18
KEP. BANGKA BELITUNG,12.27,12.81
Bangka,13.13,13.47
Belitung,11.92,12.31
Bangka Barat,11.78,12.21
Bangka Tengah,12.23,13.05
Bangka Selatan,11.7,12.25
Belitung Timur,11.67,12.23
Kota Pangkal Pinang,13.49,13.53
KEPULAUAN RIAU,13.1,13.57
Karimun,12.57,13.11
Bintan,13.35,14.2
Natuna,13.81,14.19
Lingga,12.93,12.76
Kepulauan Anambas,13.02,13.33
Kota Batam,13.3,13.71
Kota Tanjung Pinang,14.19,14.64
DKI JAKARTA,13.65,13.91
Kep. Seribu,13.52,12.76
Kota Jakarta Selatan,14.32,14.2
Kota Jakarta Timur,13.98,14.47
Kota Jakarta Pusat,13.53,13.5
Kota Jakarta Barat,13.52,13.47
Kota Jakarta Utara,13.35,12.99
JAWA BARAT,12.9,13.16
Bogor,12.96,12.68
Sukabumi,12.67,12.36
Cianjur,12.6,12.22
Bandung,12.59,13.13
Garut,12.63,12.41
Tasikmalaya,13.02,12.92
Ciamis,14.7,14.31
Kuningan,13.08,12.52
Cirebon,12.43,13.02
Majalengka,12.5,12.5
Sumedang,13.21,13.69
Indramayu,12.3,12.61
Subang,12.37,12.48
Purwakarta,12.5,12.56
Karawang,12.36,12.22
Bekasi,13.14,13.43
Bandung Barat,12.29,12.22
Pangandaran,12.46,12.32
Kota Bogor,13.43,13.97
Kota Sukabumi,14.45,13.61
Kota Bandung,14.26,14.51
Kota Cirebon,13.12,13.77
Kota Bekasi,14.36,14.15
Kota Depok,14.21,14.36
Kota Cimahi,14.28,13.86
Kota Tasikmalaya,13.44,13.83
Kota Banjar,13.61,13.28
JAWA TENGAH,12.96,13.15
Cilacap,13.12,12.7
Banyumas,13.46,13.64
Purbalingga,12.26,12.1
Banjarnegara,12.03,12.04
Kebumen,13.42,13.59
Purworejo,13.7,13.58
Wonosobo,12.07,12.03
Magelang,12.83,13.08
Boyolali,12.65,13.62
Klaten,13.42,13.66
Sukoharjo,13.88,14.7
Wonogiri,12.64,12.78
Karanganyar,13.43,13.82
Sragen,12.92,13.28
Grobogan,13.91,12.58
Blora,12.99,12.83
Rembang,12.33,12.63
Pati,13.11,13.08
Kudus,13.25,13.83
Jepara,12.78,13.27
Demak,13.35,13.58
Semarang,13.38,13.07
Temanggung,12.55,12.87
Kendal,13,13.41
Batang,12.01,12.46
Pekalongan,12.28,13.2
Pemalang,12.25,12.03
Tegal,13.29,12.9
Brebes,12.79,12.58
Kota Magelang,14.71,14.91
Kota Surakarta,14.87,15.24
Kota Salatiga,15.47,15.53
Kota Semarang,15.79,15.57
Kota Pekalongan,12.78,13.22
Kota Tegal,13.2,13.42
D I YOGYAKARTA,15.73,15.86
Kulon Progo,14.55,15.44
Bantul,15.93,15.72
Gunung Kidul,13.48,13.84
Sleman,16.81,16.79
Kota Yogyakarta,17.53,17.7
JAWA TIMUR,13.34,13.66
Pacitan,12.94,12.65
Ponorogo,13.66,14.01
Trenggalek,12.59,12.82
Tulungagung,13.5,13.87
Blitar,12.39,13.33
Kediri,13.55,13.89
Malang,13.5,13.66
Lumajang,12.54,12.42
Jember,13.68,13.49
Banyuwangi,13.13,13.41
Bondowoso,13.59,13.34
Situbondo,13.53,13.2
Probolinggo,13.01,12.65
Pasuruan,13.01,12.87
Sidoarjo,15.1,15.36
Mojokerto,13.07,13.23
Jombang,13.44,13.89
Nganjuk,13.05,13.85
Madiun,13.24,13.76
Magetan,14.28,14.09
Ngawi,12.75,13.73
Bojonegoro,12.77,13.45
Tuban,12.66,12.93
Lamongan,13.69,14.17
Gresik,14.15,13.99
Bangkalan,12.18,12.06
Sampang,12.59,12.39
Pamekasan,13.98,13.72
Sumenep,13.72,13.49
Kota Kediri,15.58,15.89
Kota Blitar,14.73,14.98
Kota Malang,15.98,15.79
Kota Probolinggo,14.24,13.96
Kota Pasuruan,13.68,13.95
Kota Mojokerto,14.43,14.14
Kota Madiun,14.51,14.91
Kota Surabaya,15.14,14.71
Kota Batu,14.56,14.59
BANTEN,13.05,13.29
Pandeglang,13.52,14.16
Lebak,12.19,12.1
Tangerang,12.89,12.95
Serang,12.96,13.42
Kota Tangerang,13.96,13.97
Kota Cilegon,13.4,14.73
Kota Serang,12.97,12.85
Kota Tangerang Selatan,14.53,14.85
BALI,13.59,13.88
Jembrana,13.05,13.17
Tabanan,13.35,13.41
Badung,14.53,14.22
Gianyar,14.1,14.17
Klungkung,13.96,13.14
Bangli,13,12.43
Karangasem,12.8,13.03
Buleleng,13.51,13.29
Kota Denpasar,14.22,14.14
NUSA TENGGARA BARAT,14.12,13.98
Lombok Barat,14.28,13.89
Lombok Tengah,14.29,13.7
Lombok Timur,14.08,14.21
Sumbawa,13.33,13.43
Dompu,13.8,14.56
Bima,13.7,13.3
Sumbawa Barat,14.21,13.6
Lombok Utara,13.55,12.88
Kota Mataram,15.75,15.66
Kota Bima,15.06,15.84
NUSA TENGGARA TIMUR,13.33,13.57
Sumba Barat,13.19,13.78
Sumba Timur,12.86,13.17
Kupang,13.86,13.95
Timor Tengah Selatan,12.47,14.82
Timor Tengah Utara,13.01,14.05
Belu,12.25,12.69
Alor,12.61,12.54
Lembata,12.54,12.81
Flores Timur,13.29,13.01
Sikka,13.56,14.05
Ende,14.1,13.83
Ngada,12.45,13.08
Manggarai,13.51,14.32
Rote Ndao,13.36,13.08
Manggarai Barat,12.76,12.55
Sumba Tengah,13.11,13.44
Sumba Barat Daya,13.09,13.51
Nagekeo,13.07,12.7
Manggarai Timur,12.67,12.86
Sabu Raijua,13.2,13.41
Malaka,12.46,13.1
Kota Kupang,16.45,17.11
KALIMANTAN BARAT,12.67,13.02
Sambas,12.77,13.39
Bengkayang,12.17,12.55
Landak,12.55,12.98
Mempawah,12.89,13.47
Sanggau,11.89,12.19
Ketapang,12.25,12.01
Sintang,12.18,12.67
Kapuas Hulu,12.76,12.24
Sekadau,11.92,12.47
Melawi,11.28,11.73
Kayong Utara,12.35,12.2
Kubu Raya,13.88,14.33
Kota Pontianak,15.33,15.06
Kota Singkawang,12.92,13.35
KALIMANTAN TENGAH,12.89,12.78
Kotawaringin Barat,12.91,12.95
Kotawaringin Timur,12.95,12.9
Kapuas,12.96,13.29
Barito Selatan,13,13.15
Barito Utara,13.21,12.46
Sukamara,12.47,12.18
Lamandau,12.33,12.7
Seruyan,12.13,12.43
Katingan,12.8,13.31
Pulang Pisau,12.59,12.98
Gunung Mas,12,12.88
Barito Timur,13.19,12.53
Murung Raya,12.17,12.21
Kota Palangka Raya,15.14,15.12
KALIMANTAN SELATAN,12.89,13.37
Tanah Laut,12.81,12.69
Kotabaru,12.23,12.28
Banjar,13.03,13.29
Barito Kuala,12.68,12.84
Tapin,12.46,12.6
Hulu Sungai Selatan,12.75,13.2
Hulu Sungai Tengah,12.62,12.55
Hulu Sungai Utara,13.22,13.88
Tabalong,13.15,13.48
Tanah Bumbu,12.75,12.9
Balangan,13.35,13.55
Kota Banjarmasin,13.98,14.27
Kota Banjar Baru,15.75,14.87
KALIMANTAN TIMUR,13.89,14.23
Paser,13.22,13.63
Kutai Barat,13.4,13.4
Kutai Kartanegara,13.71,14.18
Kutai Timur,13.06,13.34
Berau,13.29,14.27
Penajam Paser Utara,13,12.9
Mahakam Ulu,13.27,12.84
Kota Balikpapan,14.26,14.63
Kota Samarinda,15.22,15.77
Kota Bontang,13.81,13.74
KALIMANTAN UTARA,13.01,13.74
Malinau,13.47,13.88
Bulungan,13.33,13.26
Tana Tidung,12.85,12.75
Nunukan,12.91,12.76
Kota Tarakan,13.58,14.78
SULAWESI UTARA,12.81,13.53
Bolaang Mongondow,11.66,12.52
Minahasa,14.19,14.56
Kepulauan Sangihe,12.45,13.4
Kepulauan Talaud,12.72,13.26
Minahasa Selatan,12.75,13.42
Minahasa Utara,12.9,13.58
Bolaang Mongondow Utara,12.36,13.04
Siau Tagulandang Biaro,11.72,12.46
Minahasa Tenggara,12.45,13
Bolaang Mongondow Selatan,12.25,12.48
Bolaang Mongondow Timur,11.91,12.6
Kota Manado,14.14,14.86
Kota Bitung,12.42,13.25
Kota Tomohon,13.76,14.89
Kota Kotamobagu,12.95,13.92
SULAWESI TENGAH,13.19,13.85
Banggai Kepulauan,13.13,12.96
Banggai,13.12,13.63
Morowali,13.65,13.4
Poso,13.52,14.34
Donggala,12.45,13.13
Toli-Toli,13.16,13.56
Buol,13.17,14.51
Parigi Moutong,12.09,13.04
Tojo Una-Una,12.6,13.1
Sigi,13.04,13.49
Banggai Laut,13.08,13.19
Morowali Utara,12.33,13
Kota Palu,16.1,16.98
SULAWESI SELATAN,13.44,13.91
Kepulauan Selayar,12.64,13.89
Bulukumba,13.23,13.64
Bantaeng,12.87,12.93
Jeneponto,12.4,12.17
Takalar,12.61,12.97
Gowa,13.51,14.13
Sinjai,13.38,13.88
Maros,13.44,13.65
Pangkajene dan Kepulauan,12.7,13.28
Barru,13.74,13.97
