province,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading
Aceh,59.23,54.24,58.7,61.92
Sumatera Utara,59.36,54.29,58.91,61.99
Sumatera Barat,59.42,54.55,58.15,63.16
Riau,58.59,53.34,57.72,61.9
Jambi,57.77,53.28,56.82,60.89
Sumatera Selatan,60.86,56.08,60.59,63.1
Bengkulu,57.74,53.02,57.25,60.27
Lampung,58.79,53.95,58.4,61.23
Kepulauan Bangka Belitung,58,53.55,57.12,61.02
Kepulauan Riau,59.33,54.1,58.27,62.89
DKI Jakarta,57.23,51.41,55.61,61.89
Jawa Barat,59.19,53.93,57.81,63.24
Jawa Tengah,57.11,52.18,55.87,60.84
DI Yogyakarta,55.44,50.63,54.12,59.25
Jawa Timur,58.86,53.62,57.9,62.29
Banten,56.53,51.53,55.36,60.16
Bali,–,–,–,–
Nusa Tenggara Barat,61.19,56.04,60.04,64.85
Nusa Tenggara Timur,62.05,55.84,61.42,65.38
Kalimantan Barat,59.85,54.61,59.11,62.95
Kalimantan Tengah,56.24,51.25,55.56,59.18
Kalimantan Selatan,57.1,51.92,56.02,60.69
Kalimantan Timur,57.86,52.7,56.21,62.26
Kalimantan Utara,58.89,53.58,57.73,62.65
Sulawesi Utara,58.75,53.94,57.75,62.05
Sulawesi Tengah,59.51,54.1,58.88,62.54
Sulawesi Selatan,59.84,54.76,58.81,63.29
Sulawesi Tenggara,58.64,53.43,57.8,61.86
Gorontalo,59.2,54.18,58.36,62.37
Sulawesi Barat,48.63,44.54,47.95,51.21
Maluku,57.38,51.94,57.05,59.94
Maluku Utara,60.66,55.61,60.26,63.2
Papua Barat,50.77,46.13,50.92,52.38
Papua Barat Daya,–,–,–,–
Papua,51.12,46.79,48.77,56.24
Papua Selatan,–,–,–,–
Papua Tengah,–,–,–,–
Papua Pegunungan,–,–,–,–
Indonesia,54.8,50.05,53.94,57.9
