Provinsi,Number of Schools in Primary Schools (Public),Number of Schools in Primary Schools (Private),Number of Schools in Primary Schools (Public + Private),Number of Teachers in Primary Schools (Public),Number of Teachers in Primary Schools (Private),Number of Teachers in Primary Schools (Public + Private),Number of Pupils in Primary Schools (Public),Number of Pupils in Primary Schools (Private),Number of Pupils in Primary Schools (Public + Private)
Aceh,3336,221,3557,47413,3358,50771,456582,42474,499056
Sumatera Utara,7982,1653,9635,92179,20945,113124,1117437,349159,1466596
Sumatera Barat,3894,353,4247,43390,5607,48997,506442,75791,582233
Riau,3239,615,3854,44459,9965,54424,620356,148085,768441
Jambi,2302,184,2486,27371,2606,29977,330014,37858,367872
Sumatera Selatan,4247,497,4744,54307,6758,61065,788108,95912,884020
Bengkulu,1285,123,1408,15852,2021,17873,170787,23968,194755
Lampung,4282,462,4744,51247,6223,57470,709223,88642,797865
Kepulauan Bangka Belitung,761,72,833,8489,1066,9555,140903,16672,157575
Kepulauan Riau,683,301,984,9119,5058,14177,153243,74961,228204
DKI Jakarta,1305,918,2223,22974,15697,38671,527062,211719,738781
Jawa Barat,16936,2634,19570,174913,41699,216612,3902286,645996,4548282
Jawa Tengah,17140,1366,18506,148125,19434,167559,2253391,324853,2578244
DI Yogyakarta,1414,424,1838,14295,5856,20151,179962,83093,263055
Jawa Timur,16790,2133,18923,153548,26765,180313,2079218,409530,2488748
Banten,3852,818,4670,46294,13410,59704,1029801,209743,1239544
Bali,2250,160,2410,22012,2923,24935,335446,46178,381624
Nusa Tenggara Barat,3008,366,3374,43403,4024,47427,478528,46505,525033
Nusa Tenggara Timur,3431,1825,5256,39885,17121,57006,406044,235300,641344
Kalimantan Barat,4138,318,4456,37167,3835,41002,487662,65001,552663
Kalimantan Tengah,2410,242,2652,23654,2858,26512,230892,46196,277088
Kalimantan Selatan,2739,193,2932,27329,2547,29876,312010,37078,349088
Kalimantan Timur,1668,287,1955,23251,4346,27597,352800,72773,425573
Kalimantan Utara,437,53,490,5457,713,6170,70049,10787,80836
Sulawesi Utara,1350,861,2211,14623,5901,20524,136974,82176,219150
Sulawesi Tengah,2675,276,2951,27325,2308,29633,289530,29191,318721
Sulawesi Selatan,6067,401,6468,65370,5918,71288,800828,80037,880865
Sulawesi Tenggara,2266,91,2357,28777,1089,29866,284912,15110,300022
Gorontalo,896,36,932,8415,426,8841,103371,5377,108748
Sulawesi Barat,1297,33,1330,15059,389,15448,138755,5314,144069
Maluku,1311,533,1844,15402,3568,18970,148432,53782,202214
Maluku Utara,1133,199,1332,12447,1323,13770,116699,21799,138498
Papua Barat,407,177,584,4322,1500,5822,46967,23216,70183
Papua Barat Daya,313,251,564,3823,1665,5488,37066,24331,61397
Papua,500,353,853,5051,2825,7876,68799,48911,117710
Papua Selatan,381,235,616,3139,1637,4776,57928,38080,96008
Papua Tengah,292,268,560,3370,2332,5702,72584,73386,145970
Papua Pegunungan,516,163,679,3604,1095,4699,109588,34402,143990
Indonesia,128933,20095,149028,1386860,256811,1643671,20050679,3933386,23984065
,,,,,,,,,
Keterangan,,,,,,,,,
Jumlah tidak termasuk satuan pendidikan yang berada di luar negeri/<i>Total excludes school located overseas</i>,,,,,,,,,
